DeviceID,TransactionID,DeviceType,DeviceOS,TransactionIP,TransactionLocation
1,1,POS Terminal,Android,203.213.147.20,"Davidburgh, Bangladesh"
2,2,ATM Machine,iOS,11.217.159.31,"Kelseyside, United States Minor Outlying Islands"
3,3,Mobile,iOS,182.86.201.245,"Adamville, Malaysia"
4,4,Mobile,Linux,176.13.83.165,"West Jenniferville, Holy See (Vatican City State)"
5,5,Laptop,Android,30.100.36.156,"East Timothychester, Mali"
6,6,ATM Machine,Windows,191.233.158.27,"Costabury, Anguilla"
7,7,ATM Machine,iOS,207.6.188.162,"Lake Joshua, Saint Kitts and Nevis"
8,8,Laptop,Windows,203.183.81.146,"Ponceton, Argentina"
9,9,ATM Machine,iOS,118.231.213.150,"East Sarahton, Palestinian Territory"
10,10,ATM Machine,Windows,53.234.174.218,"Timothyfurt, Morocco"
11,11,POS Terminal,iOS,36.232.4.104,"North Charlottemouth, Marshall Islands"
12,12,Laptop,iOS,188.224.168.101,"Port Lindseyside, Russian Federation"
13,13,ATM Machine,Android,146.96.255.56,"Lisahaven, Sao Tome and Principe"
14,14,Laptop,Linux,92.136.169.93,"New Patriciastad, Tonga"
15,15,Laptop,Android,97.58.242.130,"Lake Kathleen, Pakistan"
16,16,ATM Machine,Windows,155.58.111.140,"North Monicashire, Brunei Darussalam"
17,17,Mobile,Linux,94.30.216.214,"Josephberg, Luxembourg"
18,18,Laptop,Android,205.208.247.214,"Maldonadoside, Netherlands Antilles"
19,19,ATM Machine,Linux,165.207.224.22,"Martinport, Heard Island and McDonald Islands"
20,20,ATM Machine,Android,121.143.154.131,"Alexandrastad, Peru"
21,21,Mobile,Linux,222.71.114.31,"New Diane, Switzerland"
22,22,Mobile,Android,36.235.197.46,"Donaldshire, Denmark"
23,23,POS Terminal,Windows,162.15.157.84,"Lake Karen, Serbia"
24,24,Laptop,Linux,189.111.202.196,"East Brittanyborough, Australia"
25,25,POS Terminal,iOS,41.123.253.240,"Lake Marissa, United Kingdom"
26,26,POS Terminal,Android,168.31.105.178,"East Joseside, Solomon Islands"
27,27,Laptop,Windows,192.65.136.107,"Lake Joann, Guam"
28,28,Mobile,Android,3.40.25.6,"East Maryview, Monaco"
29,29,Laptop,Linux,189.160.161.58,"Cindytown, Puerto Rico"
30,30,Laptop,Windows,65.14.24.196,"Williambury, Samoa"
31,31,POS Terminal,iOS,213.65.205.162,"Patriciahaven, Antarctica (the territory South of 60 deg S)"
32,32,POS Terminal,Windows,93.174.77.225,"Louiston, Argentina"
33,33,Laptop,Windows,63.48.128.72,"West Christopher, China"
34,34,Mobile,Android,148.183.178.126,"Aaronberg, Bermuda"
35,35,ATM Machine,iOS,18.32.222.245,"Johnsonview, Madagascar"
36,36,POS Terminal,iOS,81.166.3.61,"East Karen, Finland"
37,37,ATM Machine,Linux,85.166.42.103,"Cardenasmouth, Suriname"
38,38,ATM Machine,Android,216.78.254.198,"Port John, Congo"
39,39,ATM Machine,Windows,75.124.95.99,"Andrewburgh, Belarus"
40,40,Mobile,iOS,108.148.123.184,"Lake Angelatown, Cote d'Ivoire"
41,41,ATM Machine,iOS,100.227.122.237,"New Angelabury, Hong Kong"
42,42,POS Terminal,Windows,17.74.35.192,"South Carol, Holy See (Vatican City State)"
43,43,POS Terminal,Android,78.57.237.245,"Lawsonville, Syrian Arab Republic"
44,44,Mobile,Android,212.14.105.132,"Thompsonshire, Peru"
45,45,POS Terminal,Windows,107.250.176.255,"Shannonhaven, Jersey"
46,46,ATM Machine,Linux,173.92.39.188,"Port Bryanfurt, Ecuador"
47,47,Laptop,Windows,110.19.252.253,"Briantown, Costa Rica"
48,48,Laptop,iOS,139.194.120.222,"Lake James, Montenegro"
49,49,ATM Machine,iOS,59.67.90.226,"East Marymouth, Sao Tome and Principe"
50,50,Laptop,Android,30.171.115.69,"West Angelafort, Tanzania"
51,51,Mobile,iOS,83.199.166.89,"East Davidport, Guinea"
52,52,ATM Machine,iOS,27.68.133.104,"Phillipsbury, Tuvalu"
53,53,ATM Machine,iOS,145.0.85.154,"Brockside, Suriname"
54,54,POS Terminal,Android,198.26.212.7,"Anitamouth, United Arab Emirates"
55,55,Mobile,Android,44.183.182.250,"East Dustin, Hong Kong"
56,56,POS Terminal,Linux,44.213.228.235,"Ericamouth, Uzbekistan"
57,57,Laptop,Android,217.188.7.169,"New Cameron, Swaziland"
58,58,POS Terminal,iOS,166.15.58.117,"Obrienland, Switzerland"
59,59,POS Terminal,Windows,121.128.180.251,"New Randy, Solomon Islands"
60,60,Mobile,Linux,9.186.65.5,"Travismouth, Lesotho"
61,61,Laptop,iOS,97.71.249.241,"Orrchester, Uganda"
62,62,ATM Machine,Windows,84.249.134.84,"New Alexisside, Bolivia"
63,63,POS Terminal,Linux,22.29.147.23,"North Aaronstad, Lesotho"
64,64,Laptop,Linux,101.43.34.164,"Garymouth, Solomon Islands"
65,65,Laptop,Linux,109.6.38.218,"South Rhonda, Dominica"
66,66,Laptop,Linux,192.194.133.174,"North Jeffreyburgh, Tokelau"
67,67,ATM Machine,Windows,69.15.250.162,"East Travisfort, Nicaragua"
68,68,ATM Machine,Windows,178.23.101.155,"Lake Christopher, Estonia"
69,69,Laptop,Linux,19.210.83.104,"Lake Johnbury, Afghanistan"
70,70,ATM Machine,Linux,171.48.111.230,"Wilsonshire, Seychelles"
71,71,ATM Machine,iOS,22.180.148.158,"Kylefort, Puerto Rico"
72,72,POS Terminal,Windows,128.249.212.88,"Port Tinaport, Djibouti"
73,73,POS Terminal,iOS,86.58.179.9,"West Paige, Guyana"
74,74,Laptop,Android,53.128.42.247,"Hughesborough, Bahamas"
75,75,Mobile,Linux,22.120.213.97,"Kellychester, Gabon"
76,76,POS Terminal,iOS,4.239.77.22,"Maryside, Mayotte"
77,77,POS Terminal,Android,70.86.72.235,"North Jimmy, Cayman Islands"
78,78,Laptop,Android,15.1.38.27,"Andresview, United Kingdom"
79,79,ATM Machine,iOS,143.106.97.47,"West Ricky, Serbia"
80,80,Mobile,iOS,209.180.217.228,"Port Michelletown, Tokelau"
81,81,ATM Machine,Android,21.226.141.234,"South Michaelton, Micronesia"
82,82,POS Terminal,Windows,107.241.106.79,"Hollandside, Iceland"
83,83,POS Terminal,Windows,177.252.7.87,"Whiteside, Papua New Guinea"
84,84,Mobile,Windows,71.171.196.5,"Amandaborough, Panama"
85,85,Laptop,Linux,139.139.195.129,"South Arthurstad, British Indian Ocean Territory (Chagos Archipelago)"
86,86,ATM Machine,Windows,211.233.42.169,"New Christianhaven, Djibouti"
87,87,Mobile,iOS,180.189.106.160,"Lake Victorialand, Slovakia (Slovak Republic)"
88,88,Mobile,iOS,210.246.20.56,"Deannafort, Tanzania"
89,89,ATM Machine,Linux,39.143.154.21,"Lake Jimport, Bahamas"
90,90,Laptop,Windows,181.232.211.79,"Ramosview, Armenia"
91,91,Laptop,iOS,90.46.91.235,"Amandahaven, Serbia"
92,92,ATM Machine,Windows,194.9.12.219,"Lake Michael, Peru"
93,93,Mobile,Windows,83.237.78.39,"Robertschester, Kiribati"
94,94,POS Terminal,Linux,26.99.53.134,"East Thomasfort, Venezuela"
95,95,Laptop,Windows,44.112.199.99,"Wagnerburgh, Guernsey"
96,96,ATM Machine,iOS,189.17.184.7,"Jamesville, Guam"
97,97,Mobile,iOS,4.165.111.31,"Hayesfort, Macedonia"
98,98,Laptop,Android,86.51.130.86,"Port Allen, Samoa"
99,99,Mobile,Linux,199.32.112.72,"Littleborough, Timor-Leste"
100,100,Mobile,Windows,16.25.34.176,"Earlchester, Portugal"
101,101,ATM Machine,iOS,110.216.238.27,"Amyhaven, Saudi Arabia"
102,102,POS Terminal,Android,142.61.227.73,"South Sarah, San Marino"
103,103,ATM Machine,iOS,200.97.243.136,"Briannaview, Lesotho"
104,104,POS Terminal,Android,71.76.144.6,"North Daniel, Germany"
105,105,Mobile,Windows,2.166.181.139,"East Ronaldbury, Belize"
106,106,Laptop,Linux,75.244.114.53,"South Nathan, Guinea"
107,107,ATM Machine,Windows,1.125.106.26,"Port Josephland, Isle of Man"
108,108,Laptop,Windows,68.3.220.203,"Port Danielville, Macedonia"
109,109,Laptop,Linux,41.187.26.39,"Martinton, Morocco"
110,110,Mobile,Windows,98.253.248.129,"Kelleymouth, Niue"
111,111,Mobile,iOS,181.110.165.113,"New Vanessa, Kuwait"
112,112,POS Terminal,Windows,157.99.62.54,"Kennethshire, Nauru"
113,113,Laptop,Linux,179.83.225.58,"West Dillonview, South Georgia and the South Sandwich Islands"
114,114,POS Terminal,iOS,86.95.242.61,"East Derek, Guinea"
115,115,ATM Machine,Android,157.75.85.188,"Steeleburgh, Guam"
116,116,Laptop,iOS,40.245.238.5,"Mendozaton, United States Minor Outlying Islands"
117,117,POS Terminal,Android,90.28.238.184,"Knightside, Guam"
118,118,ATM Machine,Linux,204.61.231.46,"North Gregory, Lao People's Democratic Republic"
119,119,ATM Machine,Linux,61.23.116.37,"Lindsayburgh, Montenegro"
